test,provider,prompt,rounds,ttft_ms_median,ttft_ms_stdev,decode_tok_s_median,decode_tok_s_mean,decode_tok_s_stdev,total_ms_median,tokens_median,memory_peak_mb
A1-single-short,mlx-lm,,9,154,6.23,,,,1230,,19235
A1-single-short,ollama,,9,50,6.49,66.56,66.59,0.21,1632,104,21504
A1-single-short,omlx,,9,101,5.88,,,,1771,,20136
A2-single-code,mlx-lm,,9,162,4.6,,,,11621,,19233
A2-single-code,ollama,,9,56,7.95,65.74,65.59,0.45,15656,1024,21504
A2-single-code,omlx,,9,168,4.25,,,,16130,,20224
A3-single-long,mlx-lm,,9,165,4.27,,,,1553,,19256
A3-single-long,ollama,,9,58,10.07,64.78,64.59,0.37,1997,123,21504
A3-single-long,omlx,,9,1330,7.55,,,,3220,,19829
E1-gemma4-cross,ollama,,9,237,8.49,47.23,46.82,0.92,2565,108,23552
E1-gemma4-cross,omlx,,9,146,3.71,,,,1661,,16108
E2-gemma4-long,ollama,,9,274,22.48,39.41,39.46,0.74,5215,199,23552
E2-gemma4-long,omlx,,9,447,20.04,,,,3854,,16898
